"screen_name","text","stripped_text2"
"Gamerslite1","@dbrand So there is less iPhone 13 pro max than Samsung S22 Ultra from the given tweet right..?","@dbrand So there is less iPhone 13 pro max than Samsung S22 Ultra from the given tweet right..?"
"thesammyfans","Samsung India to hold Galaxy S22 Ultra Epic Unboxing event on March 5th #Samsung #GalaxyS22Ultra
https://t.co/qAfrme5NUP","Samsung India to hold Galaxy S22 Ultra Epic Unboxing event on March 5th #Samsung #GalaxyS22Ultra
https://t.co/qAfrme5NUP"
"thesammyfans","Samsung Galaxy S22 Ultra passes JerryRigEverything’s durability test #Samsung #GalaxyS22Ultra https://t.co/8LB2Uj82VD","Samsung Galaxy S22 Ultra passes JerryRigEverything’s durability test #Samsung #GalaxyS22Ultra https://t.co/8LB2Uj82VD"
"thesammyfans","How to create GIFs with S Pen on your Samsung Galaxy S22 Ultra? #Samsung #GalaxyS22Ultra #SPen
https://t.co/jkKDqU9huo","How to create GIFs with S Pen on your Samsung Galaxy S22 Ultra? #Samsung #GalaxyS22Ultra #SPen
https://t.co/jkKDqU9huo"
"HLhadon","Happy brought # New phone # Samsung Galaxy S22 ultra<U+0001F49C><U+0001F49C><U+0001F49C> https://t.co/rWSaCwQjbi","Happy brought # New phone # Samsung Galaxy S22 ultra<U+0001F49C><U+0001F49C><U+0001F49C> https://t.co/rWSaCwQjbi"
"OnlyMySay","Hurry up before this offer expires and you miss the discounted benefits.
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan","Hurry up before this offer expires and you miss the discounted benefits.
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan"
"OnlyMySay","Pre-order before 17th March to avail limited time discounts by Samsung. 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan","Pre-order before 17th March to avail limited time discounts by Samsung. 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan"
"OnlyMySay","Pre-order before 17th March to avail limited time benefits and discounts. 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan","Pre-order before 17th March to avail limited time benefits and discounts. 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan"
"OnlyMySay","Galaxy S22 Ultra is now available to Pre-order. Get exclusive limited time offers like Galaxy Buds Pro, Leather Cover and Samsung Care+ at a price of Rs. 244,999
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan","Galaxy S22 Ultra is now available to Pre-order. Get exclusive limited time offers like Galaxy Buds Pro, Leather Cover and Samsung Care+ at a price of Rs. 244,999
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan"
"OnlyMySay","Hurry up!
The pre-order has been started and will be available till 17th March.
link: 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan","Hurry up!
The pre-order has been started and will be available till 17th March.
link: 
https://t.co/dZbeK9mKmc
#GalaxyS22 
@SamsungPakistan"
